ht_in,male,wages,,
65,0,,,
62,0,,,
64,0,,,
64,0,22000,,
,0,,,
,0,,,
67,1,,,
58,0,,,
71,1,41000,,
61,0,46000,,
,1,,,
73,1,5000,,
,1,,,
68,1,121993,,
,0,,,
69,1,52000,,
64,0,54000,,
70,1,45000,,
67,0,18000,,
66,0,32000,,
62,0,121993,,
,0,,,
75,1,30000,,
62,0,22000,,
,1,,,
74,1,24200,,
70,1,65000,,
69,0,,,
68,0,15000,,
73,1,48000,,
73,1,33000,,
70,1,22000,,
68,0,24000,,
63,0,,,
,0,,,
77,1,80000,,
,1,,,
,1,,,
68,0,30,,
,0,,,
69,1,45000,,
,1,,,
73,1,12000,,
61,0,34000,,
64,0,33400,,
63,0,56500,,
63,0,38000,,
,1,,,
64,0,34000,,
64,0,25000,,
73,1,48000,,
,0,,,
62,0,23000,,
61,0,20000,,
65,0,41000,,
74,1,60000,,
,0,,,
70,1,25000,,
70,1,53000,,
70,1,15000,,
61,0,70000,,
71,1,60000,,
71,1,47000,,
70,1,,,
,1,,,
,0,,,
68,0,,,
70,1,121993,,
,1,,,
63,0,35000,,
,1,,,
74,1,45000,,
70,1,,,
66,0,37000,,
,1,,,
66,0,45000,,
,1,,,
64,0,,,
70,1,,,
,1,,,
73,1,,,
,0,,,
67,0,34000,,
,1,40000,,
,1,,,
,1,,,
71,1,121993,,
68,0,35500,,
67,0,35300,,
69,1,2500,,
61,0,50000,,
70,1,34000,,
,1,,,
,1,76000,,
64,0,10000,,
73,1,39700,,
68,1,30000,,
62,0,,,
68,1,,,
69,1,,,
65,0,78000,,
,1,,,
74,1,,,
63,0,,,
66,1,5000,,
64,0,80000,,
73,0,,,
,1,13000,,
70,1,33000,,
,0,,,
,1,,,
69,1,,,
67,0,,,
,1,,,
68,1,150,,
66,1,32000,,
67,0,1800,,
70,1,5000,,
,1,,,
65,1,,,
64,0,600,,
,1,,,
69,1,,,
62,0,43000,,
67,1,,,
,0,,,
70,1,,,
64,0,30000,,
70,1,38000,,
61,0,19000,,
71,1,15500,,
,1,10000,,
68,1,60000,,
73,1,10000,,
66,1,,,
74,1,70000,,
71,1,27000,,
71,1,34000,,
61,0,20000,,
71,1,30000,,
68,1,35000,,
64,0,72000,,
,0,,,
66,0,10701,,
,1,,,
64,0,,,
,0,,,
68,1,31000,,
62,0,12000,,
65,0,27000,,
69,1,5800,,
71,1,42000,,
67,1,,,
70,0,30000,,
62,0,17800,,
,1,,,
67,0,,,
,0,,,
,0,,,
73,1,35000,,
74,1,4000,,
73,1,49000,,
,1,,,
67,1,30000,,
74,1,15000,,
61,0,45000,,
69,0,,,
69,1,24000,,
66,0,60000,,
71,0,27000,,
63,1,35000,,
69,0,40000,,
69,1,38000,,
,1,35000,,
,0,,,
,0,11000,,
64,0,65000,,
,1,40000,,
69,1,,,
68,1,70000,,
71,1,24900,,
68,1,44000,,
62,0,58000,,
70,1,,,
75,1,52000,,
63,0,40000,,
75,1,,,
70,1,,,
69,1,60000,,
,1,,,
68,0,45000,,
,1,26000,,
66,0,25000,,
,1,,,
78,1,5100,,
70,0,,,
62,0,41000,,
69,1,38200,,
,1,12000,,
,1,,,
,1,,,
74,1,,,
,0,,,
63,0,38000,,
73,1,76000,,
74,1,40000,,
65,0,65000,,
63,0,5000,,
66,0,16000,,
,0,,,
74,1,42000,,
67,0,48000,,
63,0,35000,,
,0,,,
63,0,55000,,
64,0,39000,,
67,0,,,
,0,,,
,1,27000,,
63,0,23000,,
74,1,24000,,
67,1,15000,,
69,0,35140,,
70,1,31000,,
69,0,30000,,
,0,47000,,
78,1,42000,,
65,0,,,
70,0,25000,,
65,0,25000,,
,0,,,
,0,,,
73,1,30000,,
